,EIN,OrganizationName,State,County,Lat,Lon,GeoDistance(km)
0,42964630,NEIGHBORHOOD OF AFFORDABLE HOUSING INC,MA,Suffolk County,42.37,-71.02,4135.0121011193005
1,251525572,ENTERPRISE DEVELOPMENT FUND OF ERIE COUNTY INC,PA,Allegheny County,40.45,-79.99,3386.271781774755
2,946181807,BOY SCOUTS OF AMERICA INC TRUST FUND MT DIABLO SILVERADO COUNCIL TRUST,CA,Contra Costa County,37.95,-122.08,685.1820727925407
3,221936892,SOUTH JERSEY MECHANICAL CONTRACTORS ASSOCIATION INDUSTRY FUND,NJ,Burlington County,39.85,-74.91,3818.396710536809
4,223091017,COMMUNITY LIVING CORPORATION,MA,Suffolk County,42.4,-71.03,4134.112585278241
5,611339396,SACRED HEART VILLAGE II INC,CO,Denver County,39.75,-105.0,1313.4337047522388
6,300308421,UCC XIX INC,OH,Marion County,40.6,-83.1,3124.6499678284317
7,364592698,FREEDOM FOUNDATION OF MINNESOTA,MN,Hennepin County,44.83,-93.31,2425.2268863773447
8,650880021,PULMONARY HYPERTENSION ASSOCIATION,MD,Montgomery County,39.0,-77.04,3639.6569574486175
9,50482260,WEST HOUSE CORPORATION,RI,Newport County,41.49,-71.32,4113.375686537209
10,590652592,GFWC TAMPA WOMANS CLUB INC,FL,Hillsborough County,27.96,-82.54,3357.8268430571147
11,132626135,TECHNOSERVE INC,DC,District of Columbia,38.907,-77.042,3639.944376328462
12,820476202,TWIN PINES APARTMENTS INC,ID,Bonneville County,43.5,-111.9,1235.9750987510847
13,410128105,CONNEXUS ENERGY,MN,Anoka County,45.3,-93.4,2440.5123692058287
14,364150724,OAK PARK-RIVER FOREST COMMUNITY FOUNDATION,IL,Cook County,41.888999999999996,-87.79799999999999,2753.924167811905
15,311358126,UNITED CHURCH RESIDENCES OF ASHLAND,OH,Marion County,40.6,-83.1,3124.6499678284317
16,431769074,JUSTINE PETERSEN HOUSING AND REINVESTMENT CORPORATION,MO,St. Louis city,38.64,-90.21,2499.007065381691
17,256063116,AUXILIARY TO THE JEFFERSON REGIONAL MEDICAL CENTER,PA,Allegheny County,40.34,-79.98,3386.7674398258973
19,522198798,ST JOHNS COMMUNITY SERVICES - PENNSYLVANIA,DC,District of Columbia,38.92,-77.08,3636.59438980498
20,470818929,GOODWILL SPECIALTY SERVICES INC,NE,Douglas County,41.3,-96.05,2073.9727386120917
21,943213100,TIDES CENTER,CA,San Francisco County,37.8,-122.46,695.498005330476
